W 58053.078873 24.532 0.291 r
W 58053.082443 24.750 0.344 r
W 58053.085812 24.728 0.769 g
W 58053.089612 25.234 2.355 g
W 58053.093831 24.903 0.280 r
W 58053.097381 24.564 0.235 r
W 58053.100980 24.707 0.248 i
W 58053.106020 24.493 0.239 i
W 58053.110099 23.978 0.139 r
W 58053.113619 24.233 0.167 r
W 58053.117228 23.835 0.225 z
W 58053.121167 23.131 0.174 z
W 58053.125097 23.382 0.178 z
W 58053.129056 23.059 0.125 z
W 58053.133006 22.909 0.139 z
W 58053.136935 22.859 0.115 z
W 58053.140845 23.016 0.132 z
W 58053.144764 22.738 0.129 z
W 58053.148284 22.990 0.160 z
W 58053.151943 22.941 0.066 r
W 58053.155533 22.856 0.055 r
Y 58053.15879 21.067 0.2832 Y
Y 58053.17632 21.101 0.2955 Y
Y 58053.18657 21.842 0.3686 Y
Y 58053.18819 21.417 0.3708 Y
Y 58053.19053 21.482 0.3492 Y
Y 58053.19693 21.653 0.4330 Y
Y 58053.19770 21.489 0.3408 Y
Y 58053.20007 21.611 0.4109 Y
Y 58053.20403 21.860 0.5323 Y
W 58053.220474 24.440 0.260 r
W 58053.224043 24.804 0.340 r
W 58053.235522 25.432 0.592 w
W 58053.236812 24.923 0.372 w
W 58053.238101 25.715 0.760 w
W 58053.239391 24.371 0.227 w
W 58053.240681 24.526 0.257 w
W 58053.241971 24.370 0.226 w
W 58053.243271 25.252 0.495 w
W 58053.244561 24.332 0.216 w
W 58053.245850 24.156 0.187 w
W 58053.247140 24.558 0.260 w
W 58053.248430 24.660 0.289 w
W 58053.249720 24.511 0.254 w
W 58053.251010 24.444 0.242 w
W 58053.252299 24.404 0.231 w
W 58053.253589 23.887 0.149 w
W 58053.254879 24.232 0.200 w
W 58053.256169 24.144 0.187 w
W 58053.257459 24.112 0.175 w
W 58053.258749 23.644 0.122 w
W 58053.260038 23.851 0.145 w
W 58053.261478 23.654 0.125 w
W 58053.268987 23.948 0.089 w
W 58053.270917 23.733 0.132 w
W 58053.272207 23.519 0.112 w
W 58053.273497 23.523 0.112 w
W 58053.274786 23.418 0.103 w
W 58053.276076 23.308 0.097 w
W 58053.277366 23.176 0.089 w
W 58053.278656 23.198 0.090 w
W 58053.279956 23.224 0.091 w
W 58053.281245 23.022 0.081 w
W 58053.282535 23.053 0.081 w
W 58053.283825 22.928 0.076 w
W 58053.285115 22.941 0.076 w
W 58053.286405 22.905 0.076 w
W 58053.288824 22.742 0.057 w
W 58053.291394 22.808 0.058 w
W 58053.293954 22.836 0.058 w
W 58053.296523 22.774 0.058 w
W 58053.299083 22.781 0.058 w
W 58053.301643 22.805 0.059 w
W 58053.304212 22.751 0.058 w
W 58053.306772 22.779 0.059 w
W 58053.309332 22.824 0.061 w
W 58053.311901 22.819 0.060 w
W 58053.314461 22.674 0.057 w
p 58053.31633 22.115 0.1083 r
W 58053.317021 22.767 0.059 w
W 58053.319590 22.840 0.059 w
W 58053.322150 22.840 0.057 w
W 58053.324710 22.937 0.061 w
W 58053.327299 22.837 0.059 w
W 58053.329869 22.991 0.062 w
W 58053.332428 23.016 0.062 w
W 58053.334988 23.117 0.065 w
W 58053.337558 23.092 0.064 w
W 58053.340117 23.225 0.068 w
W 58053.342677 23.175 0.066 w
W 58053.345247 23.192 0.067 w
W 58053.347806 23.139 0.070 w
W 58053.350376 23.517 0.077 w
W 58053.352936 23.515 0.078 w
W 58053.355495 23.490 0.077 w
W 58053.358195 23.581 0.080 w
W 58053.360755 23.620 0.081 w
W 58053.363324 23.816 0.093 w
W 58053.365884 23.992 0.106 w
W 58053.368653 24.283 0.128 w
W 58053.371213 24.387 0.142 w
W 58053.373783 24.467 0.159 w
W 58053.376342 24.592 0.170 w
W 58053.378902 24.644 0.181 w
W 58053.381472 25.371 0.340 w
W 58053.384031 25.053 0.258 w
W 58053.386591 25.254 0.304 w
W 58053.389171 24.219 0.134 w
W 58053.397000 24.102 0.114 w
p 58053.39876 23.556 0.2167 r
W 58053.399559 24.297 0.136 w
W 58053.402129 24.367 0.137 w
W 58053.404689 24.235 0.118 w
W 58053.407248 24.096 0.107 w
p 58053.40792 23.043 0.3235 r
W 58053.409818 23.998 0.099 w
W 58053.412377 23.868 0.091 w
W 58053.414937 23.953 0.094 w
p 58053.41638 22.799 0.2333 r
W 58053.417627 23.690 0.082 w
W 58053.420186 23.346 0.069 w
W 58053.422746 23.326 0.068 w
p 58053.42371 22.311 0.1384 r
W 58053.425346 23.098 0.065 w
W 58053.427915 23.098 0.063 w
W 58053.430475 23.108 0.063 w
p 58053.43174 22.179 0.1174 r
W 58053.433045 23.167 0.063 w
W 58053.435604 23.035 0.063 w
W 58053.438164 23.006 0.061 w
p 58053.43935 22.103 0.1354 r
W 58053.443303 22.761 0.057 w
W 58053.445863 22.629 0.056 w
p 58053.44766 21.705 0.0737 r
W 58053.448563 22.538 0.056 w
W 58053.451172 22.446 0.055 w
W 58053.453772 22.494 0.055 w
p 58053.45513 21.562 0.0752 r
W 58053.456331 22.406 0.054 w
p 58053.46330 21.582 0.0557 r
p 58053.47091 21.765 0.0587 r
p 58053.47922 21.919 0.0918 r
p 58053.48655 21.965 0.0783 r
p 58053.49472 22.063 0.1339 r
p 58053.50233 22.264 0.1941 r
p 58053.51037 22.496 0.1249 r
p 58053.51797 22.768 0.1264 r
p 58053.52558 23.250 0.1731 r
p 58053.53136 24.016 0.4003 r
